Time (s),Current (uA)
3.2,3753246.97
3.21,3888514.48
3.22,3613235.22
3.23,3864824.04
3.24,3823331.07
3.25,4164247.54
3.26,3637767.51
3.27,3688000.32
3.28,3491620.83
3.29,3633467.26
3.3,2848418.65
3.31,4660221.73
3.32,3985621.19
3.33,3455380.83
3.34,22397.4
3.35,1386576.23
3.36,1214440.67
3.37,5096301.27
3.38,5151578.08
3.39,5347712.9
3.4,6165418.43
3.41,4721270.31
3.42,4096745.79
3.43,3072966.65
3.44,3313423.5
3.45,3422168.13
3.46,3857113.43
3.47,4197036.83
3.48,3233295.06
3.49,4284461.87
3.5,3663537.19
3.51,3782206.17
3.52,3629429.01
3.53,623736.98
3.54,1694077.29
3.55,5854583.78
3.56,5226843.52
3.57,5308258.9
3.58,3307521.08
3.59,4220378.83
3.6,3713546.24
3.61,4398330.12
3.62,2982351.55
3.63,3814254.63
3.64,4134939.8
3.65,3976410.65
3.66,5152761.27
3.67,4366168.71
3.68,3937438.56
3.69,3571709.34
3.7,4648294.27
3.71,22377.02
3.72,1812390.86
3.73,5939011.68
3.74,5501782.53
3.75,4453271.68
3.76,3983483.89
3.77,4313185.36
3.78,3722196.21
3.79,3563004.58
3.8,4505159.87
3.81,4338342.1
3.82,4459269.86
3.83,3834408.4
3.84,3336666.17
3.85,3340331.33
3.86,2273810.83
3.87,349302.18
3.88,1024574.04
3.89,4705276.54
3.9,4881527.99
3.91,3686742.3
3.92,3400975.46
3.93,3728170.45
3.94,4228116.66
3.95,3449984.62
3.96,3798183.47
3.97,3517768.93
3.98,5340597.47
3.99,3836768.6
4.0,3803447.04
4.01,3862087.26
4.02,3540064.74
4.03,1815277.79
4.04,1857873.44
4.05,1117752.97
4.06,5551135.13
4.07,4612731.34
4.08,4483566.32
4.09,3372233.23
4.1,3301327.96
4.11,3398601.91
4.12,3201683.06
4.13,3828350.19
4.14,3599765.57
4.15,3974584.74
4.16,4221571.24
4.17,3766884.81
4.18,3441478.17
4.19,4428131.8
4.2,3109669.9
4.21,5020700.22
4.22,3765195.95
4.23,3139679.18
4.24,3469214.75
4.25,4191437.47
4.26,492348.4
4.27,3231.11
4.28,1687097.09
4.29,3161935.29
4.3,6129578.06
4.31,5147439.83
4.32,5206381.83
4.33,4502433.97
4.34,3495028.57
4.35,3590505.33
4.36,3852673.65
4.37,4616811.9
4.38,3797955.62
4.39,3634410.59
4.4,3713007.83
4.41,4023824.18
4.42,4003600.46
4.43,3468648.42
4.44,3373092.09
4.45,3699192.37
4.46,3319.74
4.47,1334116.93
4.48,4558391.97
4.49,5285671.13
4.5,3649099.31
4.51,4498671.01
4.52,3413603.44
4.53,4875185.37
4.54,4121801.0
4.55,4050660.21
4.56,4098145.01
4.57,3212120.04
4.58,3010168.67
4.59,3680689.01
4.6,3346881.76
4.61,1147867.77
4.62,19877.2
4.63,3922154.62
4.64,5190994.38
4.65,5638954.32
4.66,3133614.12
4.67,4207329.9
4.68,4263177.45
4.69,3633609.15
4.7,3473290.4
4.71,4327488.72
4.72,3226411.32
4.73,3963501.43
4.74,3932901.03
4.75,3231007.81
4.76,3702628.15
4.77,44942.63
4.78,1226075.6
4.79,4351877.79
4.8,5395611.63
4.81,3061623.09
4.82,3833716.59
4.83,3346142.37
4.84,4839343.55
4.85,3955315.18
4.86,3167380.76
4.87,4012245.07
4.88,4186875.01
4.89,4111947.24
4.9,4327022.27
4.91,3983929.59
4.92,1312865.73
4.93,1465004.5
4.94,5840989.08
4.95,5162799.28
4.96,5328279.3
4.97,3229284.5
4.98,5790945.23
4.99,4277311.15
5.0,4255716.34
5.01,3424268.57
5.02,5507242.41
5.03,5153436.82
5.04,4387221.7
5.05,3694275.05
5.06,3523413.66
5.07,3637687.01
5.08,3827290.18
5.09,4003517.79
5.1,3594624.2
5.11,387660.65
5.12,3421.01
5.13,1919124.0
5.14,1664350.75
5.15,5673995.41
5.16,5396540.22
5.17,4381461.14
5.18,4974123.99
5.19,3756245.33
5.2,3127537.83
5.21,3907379.23
5.22,3511281.87
5.23,4390686.77
5.24,3243801.9
5.25,4081885.73
5.26,4758196.89
5.27,3549966.42
5.28,3087589.43
5.29,3492097.3
5.3,4085942.59
5.31,3806362.81
5.32,2754231.34
5.33,3982943.32
5.34,4463747.59
5.35,3888752.54
5.36,1182708.9
5.37,3152.18
5.38,1890987.84
5.39,5539814.31
5.4,5097066.27
5.41,5190105.56
5.42,3437283.83
5.43,4275563.05
5.44,3241774.8
5.45,3444817.14
5.46,3330442.34
5.47,3441264.58
5.48,3712766.06
5.49,4426066.45
5.5,3625815.64
5.51,4397611.07
5.52,3562919.88
5.53,3193858.87
5.54,4509478.93
5.55,4261175.59
5.56,4084320.42
5.57,370780.24
5.58,783495.02
5.59,6046610.41
5.6,4879759.14
5.61,5323876.7
5.62,4816759.9
5.63,1417345.44
5.64,2869644.61
5.65,1128238.68
5.66,1315525.34
5.67,1027985.24
5.68,1204514.3
5.69,2676239.66
5.7,1204522.25
5.71,1011504.29
5.72,1226848.17
5.73,1080237.19
5.74,4969073.34
5.75,9730187.52
5.76,9906464.75
5.77,9630545.89
5.78,9540952.37
5.79,9950633.85
5.8,9546164.68
5.81,10082040.92
5.82,9816060.9
5.83,10125330.76
5.84,10076660.99
5.85,10341196.03
5.86,9913751.91
5.87,10138368.49
5.88,10049256.56
5.89,9948376.69
5.9,10179081.14
5.91,10156551.85
5.92,10046860.55
5.93,9811430.84
5.94,10028179.03
5.95,9639274.33
5.96,10430671.41
5.97,10010630.9
5.98,10088323.64
5.99,10085719.48
6.0,10098633.84
6.01,10491103.67
6.02,10351567.34
6.03,10298869.47
6.04,9849495.38
6.05,9820813.3
6.06,10427768.04
6.07,10040237.43
6.08,9705308.44
6.09,9914821.72
6.1,10187498.98
6.11,10294041.47
6.12,5395023.27
6.13,704575.73
6.14,1231499.36
6.15,2544262.37
6.16,2227185.7
6.17,2029781.89
6.18,2745344.14
6.19,1058493.83
6.2,1132518.82
6.21,1302456.63
6.22,1093007.01
6.23,1139518.72
6.24,1075474.25
6.25,1109962.31
6.26,4148682.5
6.27,7562422.78
6.28,9719034.5
6.29,9893836.63
6.3,9880960.76
6.31,9997030.28
6.32,9753394.4
6.33,10044940.05
6.34,9797537.05
6.35,10077416.74
6.36,10095029.67
6.37,9945254.21
6.38,9889045.87
6.39,9947302.82
6.4,9799688.17
6.41,10356650.77
6.42,10265275.24
6.43,9971059.61
6.44,10178660.46
6.45,9952887.12
6.46,9628835.76
6.47,9968005.73
6.48,9761090.26
6.49,9939376.52
6.5,9958599.14
6.51,10025432.93
6.52,9953899.9
6.53,10780353.43
6.54,10188153.0
6.55,10878481.7
6.56,10520064.97
6.57,10372132.09
6.58,10353006.82
6.59,10622039.55
6.6,10382657.25
6.61,10349555.79
6.62,10420640.0
6.63,10553332.07
6.64,10560631.75
6.65,9831860.74
6.66,9945835.31
6.67,10095389.78
6.68,10509939.23
6.69,9931840.19
6.7,10358883.82
6.71,10218175.65
6.72,10492672.6
6.73,10017261.32
6.74,10221998.91
6.75,10346580.89
6.76,9346821.88
6.77,9556056.37
6.78,10035007.53
6.79,10117643.63
6.8,10020700.99
6.81,9975538.98
6.82,10122604.62
6.83,9633890.62
6.84,10200413.13
6.85,9958122.24
6.86,9627774.13
6.87,10174505.83
6.88,10032440.39
6.89,10492284.6
6.9,9822466.98
6.91,10151347.29
6.92,9877820.83
6.93,10088997.39
6.94,10080191.18
6.95,9800353.39
6.96,9921198.71
6.97,9760478.62
6.98,9739201.55
6.99,10359803.22
7.0,9795092.98
7.01,9847753.68
7.02,10675919.14
7.03,9632272.12
7.04,10088586.74
7.05,10218446.58
7.06,10024789.88
7.07,9942418.2
7.08,10067218.42
7.09,9750932.58
7.1,10389120.49
7.11,9729284.21
7.12,9790705.39
7.13,10009752.99
7.14,9940909.72
7.15,9687935.26
7.16,10041133.9
7.17,9316147.97
7.18,9903386.54
7.19,10025841.97
7.2,9720792.11
7.21,9656896.33
7.22,10499017.93
7.23,10324084.13
7.24,10014781.53
7.25,9762274.86
7.26,9761480.68
7.27,10157317.65
7.28,9837822.21
7.29,10256573.4
7.3,9807612.2
7.31,9830721.89
7.32,10079863.9
7.33,9832138.66
7.34,10177725.75
7.35,10050098.47
7.36,10423119.26
7.37,9683054.7
7.38,9984028.86
7.39,8082722.84
7.4,9925526.53
7.41,10024645.24
7.42,10283984.43
7.43,10120688.88
7.44,10068604.83
7.45,9768720.01
7.46,9959950.34
7.47,9722036.78
7.48,10023537.52
7.49,9792760.99
7.5,9862567.47
7.51,9926143.17
7.52,10359581.48
7.53,10023783.42
7.54,10023070.74
7.55,9633674.95
7.56,9836682.04
7.57,10195610.32
7.58,10019485.05
7.59,9913155.51
7.6,9774813.04
7.61,9953073.25
7.62,10086296.84
7.63,4586004.37
7.64,1870282.05
7.65,2915468.36
7.66,1189254.93
7.67,1150829.52
7.68,1120909.87
7.69,1544207.81
7.7,3851249.77
7.71,4214286.66
7.72,4248684.51
7.73,3663810.56
7.74,3696717.81
7.75,4714647.2
7.76,3104015.37
7.77,3412698.24
7.78,3841151.68
7.79,4086776.67
7.8,4024580.3
7.81,3609101.73
7.82,4100030.12
7.83,3572654.02
7.84,3578442.74
7.85,3645291.98
7.86,4520322.36
7.87,3279674.45
7.88,4510658.1
7.89,3472022.89
7.9,4187796.98
7.91,3629774.2
7.92,3691789.98
7.93,3976040.03
7.94,2489143.51
7.95,3520551.52
7.96,5395688.2
7.97,5222909.11
7.98,3769468.8
7.99,4609075.34
8.0,3813100.3
8.01,4380827.17
8.02,2904577.21
8.03,4061235.56
8.04,4294306.57
8.05,4040083.42
8.06,3259204.04
8.07,2959472.82
8.08,3994900.2
8.09,3805220.12
8.1,4017606.32
8.11,2938161.35
8.12,4597685.03
8.13,4581913.98
8.14,3408655.82
8.15,3885593.24
8.16,3529431.07
8.17,3517173.01
8.18,3806709.09
8.19,3834634.85
8.2,3677265.49
8.21,3107490.6
8.22,4323593.29
8.23,2797870.69
8.24,4035821.56
8.25,2843110.66
8.26,4747878.91
8.27,4483312.33
8.28,3375886.96
8.29,3769975.73
8.3,4499222.23
8.31,3723742.18
8.32,4265310.16
8.33,3028073.57
8.34,3262271.92
8.35,4451508.69
8.36,4045760.85
8.37,4222993.41
8.38,2843501.51
8.39,4119813.88
8.4,3880997.85
8.41,4670325.89
8.42,4211989.14
8.43,4392748.33
8.44,3693365.14
8.45,3682831.25
8.46,3628055.98
8.47,3183113.58
8.48,4017315.48
8.49,3813294.49
8.5,5263231.46
8.51,3369765.18
8.52,3753359.74
8.53,4210461.11
8.54,4511082.82
8.55,3363219.13
8.56,4285327.74
8.57,3713830.97
8.58,3767999.35
8.59,3815359.79
8.6,2901366.25
8.61,3679193.24
8.62,2686080.9
8.63,3937085.42
8.64,4014157.83
8.65,4196686.53
8.66,3205041.15
8.67,3943069.94
8.68,5370065.53
8.69,5140565.63
8.7,4138475.04
8.71,2882431.66
8.72,2935879.97
8.73,4011182.97
8.74,3605834.13
8.75,4102369.19
8.76,3755703.37
8.77,3882186.28
8.78,2664040.59
8.79,3607986.42
8.8,3053331.54
8.81,3414215.96
8.82,3242929.1
8.83,5071690.9
8.84,5152767.83
8.85,3936893.59
8.86,2659716.52
8.87,3113989.45
8.88,4081525.67
8.89,3858948.97
8.9,4100669.74
8.91,3545681.94
8.92,3520636.93
8.93,3951586.79
8.94,3045033.23
8.95,5192123.19
8.96,4990873.09
8.97,4802955.4
8.98,3394996.78
8.99,4341251.58
9.0,3837261.77
9.01,3788904.09
9.02,3892566.18
9.03,4413994.82
9.04,643929.9
9.05,8651.55
9.06,3548.79
9.07,1079362.79
9.08,4023740.58
9.09,813022.44
9.1,4920760.99
9.11,3335130.5
9.12,3247268.77
9.13,3059613.15
9.14,5470370.2
9.15,3468606.08
9.16,3285436.78
9.17,4609569.51
9.18,3147887.29
9.19,2817120.14
9.2,4161496.71
9.21,3258203.48
9.22,4208875.57
9.23,3573393.38
9.24,3366790.8
9.25,4706582.58
9.26,4471754.1
9.27,4270494.98
9.28,4911195.04
9.29,4253302.33
9.3,3634067.9
9.31,4005905.41
9.32,3158417.77
9.33,2925625.05
9.34,4449333.25
9.35,3749315.04
9.36,3053646.6
9.37,4598694.11
9.38,4046924.76
9.39,3848320.71
9.4,3811787.5
9.41,4401073.36
9.42,3444107.16
9.43,3931009.97
9.44,3364583.97
9.45,3774309.68
9.46,4039257.23
9.47,3811302.18
9.48,4304638.07
9.49,2986846.92
9.5,3540625.25
9.51,3711737.25
9.52,4399328.74
9.53,3356632.92
9.54,4003173.18
9.55,3893115.54
9.56,4218820.89
9.57,4239763.76
9.58,3844895.74
9.59,4932889.57
9.6,4849079.52
9.61,3706164.6
9.62,3658113.85
9.63,3747691.62
9.64,4099257.45
9.65,4133337.52
9.66,4313314.19
9.67,5051537.09
9.68,3500030.17
9.69,4392146.82
9.7,3861420.44
9.71,4193186.06
9.72,4279087.09
9.73,3293599.43
9.74,3698433.7
9.75,4163214.23
9.76,4012049.35
9.77,3318537.76
9.78,3349460.01
9.79,4737123.38
9.8,4883947.94
9.81,4551597.47
9.82,4241620.08
9.83,4212851.36
9.84,3818120.49
9.85,2819176.33
9.86,3863329.41
9.87,2826884.27
9.88,4905569.14
9.89,3915403.51
9.9,3392529.8
9.91,3909359.98
9.92,4048521.54
9.93,4672863.92
9.94,4647860.64
9.95,4065742.28
9.96,3823044.23
9.97,4443269.58
9.98,3088837.35
9.99,3064211.0
10.0,3824138.01
10.01,4778432.21
10.02,3372651.47
10.03,4127100.36
10.04,5338110.28
10.05,3324777.5
10.06,4142487.98
10.07,3124955.27
10.08,3186232.33
10.09,3610709.13
10.1,3332126.03
10.11,3071305.66
10.12,4039637.89
10.13,3781256.58
10.14,3627280.38
10.15,3909335.9
10.16,4149420.24
10.17,5018111.95
10.18,3409652.71
10.19,4575170.9
10.2,3503866.58
10.21,3018678.39
10.22,3511408.18
10.23,4261318.66
10.24,3685248.63
10.25,4283108.05
10.26,4370996.29
10.27,3816413.07
10.28,2922099.18
10.29,3107308.29
10.3,3494650.18
10.31,3312227.37
10.32,4703239.67
10.33,3477972.92
10.34,4064316.02
10.35,3748683.75
10.36,3770418.04
10.37,3789500.76
10.38,3850305.37
10.39,3392761.39
10.4,4401757.44
10.41,3861823.26
10.42,3309025.39
10.43,4064151.49
10.44,3878570.25
10.45,3392750.94
10.46,3599148.5
10.47,3908392.09
10.48,4556511.59
10.49,4355804.18
10.5,4616803.87
10.51,4354744.19
10.52,2898011.49
10.53,1681831.56
10.54,3429.68
10.55,49060.82
10.56,4316531.49
10.57,3523485.48
10.58,4877709.72
10.59,4667047.63
10.6,4245520.35
10.61,3971910.5
10.62,4618367.05
10.63,3604234.22
10.64,4884784.88
10.65,3381142.48
10.66,4081812.8
10.67,4098259.01
10.68,3809994.8
10.69,2783571.09
10.7,3900582.85
10.71,3401964.53
10.72,3628410.81
10.73,3615742.98
10.74,3924142.96
10.75,3926726.69
10.76,3252843.55
10.77,3625151.55
10.78,3572430.7
10.79,4896053.69
10.8,3480004.9
10.81,2977190.66
10.82,3493939.63
10.83,3369303.87
10.84,3949157.23
10.85,3330650.1
10.86,3867109.5
10.87,4427639.94
10.88,3784421.19
10.89,3379245.66
10.9,4180889.71
10.91,4193817.82
10.92,3407740.02
10.93,2959386.74
10.94,4040528.62
10.95,3785210.59
10.96,3890965.07
10.97,3247427.17
10.98,3977452.89
10.99,3799530.54
11.0,3501730.52
11.01,4846065.92
11.02,5055272.72
11.03,3458711.38
11.04,3751613.01
11.05,3186761.37
11.06,3298451.42
11.07,4956600.86
11.08,3686961.84
11.09,3466501.96
11.1,3379508.44
11.11,3891210.88
11.12,4298135.74
11.13,3993733.18
11.14,3759105.99
11.15,4020858.35
11.16,4082207.14
11.17,4650301.6
11.18,3557646.09
11.19,3137034.18
11.2,3005099.95
11.21,3323962.45
11.22,3915116.58
11.23,3287641.83
11.24,3170464.93
11.25,3833508.46
11.26,2945014.77
11.27,3473000.62
11.28,4250413.94
11.29,2599250.76
11.3,4364764.24
11.31,3044989.42
11.32,4119662.2
11.33,3307448.24
11.34,3339153.93
11.35,3975550.51
11.36,3123482.73
11.37,4090882.74
11.38,3605721.3
11.39,3685155.63
11.4,4158472.88
11.41,3853311.7
11.42,3746815.09
11.43,3451917.31
11.44,3924647.0
11.45,3401853.12
11.46,3657954.97
11.47,3006485.11
11.48,3714803.7
11.49,4478715.35
11.5,2691265.07
11.51,4265967.69
11.52,3579572.14
11.53,4933897.0
11.54,3876658.24
11.55,4052213.41
11.56,3647452.3
11.57,3636917.48
11.58,3996912.49
11.59,4106400.04
11.6,4679148.98
11.61,4104607.26
11.62,3800767.42
11.63,3664128.24
11.64,3107507.11
11.65,3631167.85
11.66,3543381.13
11.67,3925213.86
11.68,3843601.09
11.69,3804501.64
11.7,4565309.98
11.71,4286396.88
11.72,3477543.8
11.73,3032684.93
11.74,3225861.5
11.75,2958324.35
11.76,3916319.91
11.77,3194033.18
11.78,4256821.13
11.79,3785836.87
11.8,4532717.23
11.81,3017488.74
11.82,3570517.34
11.83,3786499.42
11.84,4820081.99
11.85,3691848.13
11.86,4026878.72
11.87,3842984.71
11.88,4045509.04
11.89,3754079.85
11.9,4005515.91
11.91,3879359.72
11.92,3847123.51
11.93,4871838.63
11.94,3496268.44
11.95,4830212.15
11.96,3305970.73
11.97,4363899.05
11.98,4173993.17
11.99,3626929.89
12.0,3783652.19
12.01,4570334.4
12.02,18615.3
12.03,48198.15
12.04,3362.93
12.05,1428181.11
12.06,2821394.26
12.07,2735164.38
12.08,1815674.71
12.09,805304.94
12.1,515909.98
12.11,2977131.1
12.12,1190612.45
12.13,3070424.22
12.14,2036799.18
12.15,1476943.84
12.16,813830.29
12.17,319169.76
12.18,198017.24
12.19,860821.12
